Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,SPECIFIC GRAVITY,Pressure (psia),PR,Hydrate Temperature (K)
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,1324.378,1.64872058,293.815
4.379562,65.69343,12.40876,5.109489,0.729927,1.459854,0.729927,0.729927,0.729927,0.729927,7.29927,0.835746521,981.8808,1.225919271,291.4083
17.69912,35.39823,8.849558,6.19469,0.8849558,1.769912,4.424779,0.8849558,0.8849558,0.8849558,22.12389,1.070778126,41.8592,0.035233438,259.7677
0,76.31,0,0,0,0,0,0,0,0,23.69,0.782477815,500,0.655559221,283.9076843
13.44086,64.51613,9.139785,3.763441,0.5376344,1.075269,0.5376344,0.5376344,0.5376344,0.5376344,5.376344,0.768418394,91.27166,0.089097864,273.1489
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,1237.049,1.554070994,289.1189
0,50.02,0,0,0,0,0,0,0,0,49.98,1.036275685,478.76,0.550983337,279.5
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,1620.964,2.03637296,290.6337
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,1782.898,2.600787998,292.8524
0,60,0,0,0,0,0,0,0,0,40,0.939930963,944.4444444,1.13980744,288.2112732
0,84.21,0,0,0,0,0,0,0,0,15.79,0.706212955,1611.111111,2.204610878,291.0505676
0,92,0,0,0,0,0,0,0,0,8,0.63101001,2500,3.574901333,293.0265808
0,24.42,3.99,0.75,0.92,0,0,0,0,0,66.85,1.222079631,1160,1.265582705,295.6
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,1709.079,2.22028776,291.1207
0,84.21,0,0,0,0,0,0,0,0,15.79,0.706212955,2500,3.420947915,293.0974121
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,65.1398,0.095022155,259.9072
0,50.02,0,0,0,0,0,0,0,0,49.98,1.036275685,1611.111111,1.854155267,291.0880737
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,21.24226,0.026224465,238.4028
0,94,0,0,0,0,0,0,0,0,6,0.611702451,2500,3.616688849,292.9425354
0,85.75,0,0,0,0,0,0,0,0,14.25,0.691346134,1166.666667,1.610150389,289.144043
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,367.8724,0.462148085,280.2551
3.490401,87.26003,1.745201,1.22164,0.1745201,0.3490401,0.8726003,0.1745201,0.1745201,0.1745201,4.363002,0.65573579,1143.873,1.486020963,288.8148
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,71.93723,0.101327256,255.5997
2.325581,62.0155,7.751938,5.426357,0.7751938,1.550388,3.875969,0.7751938,0.7751938,0.7751938,13.95349,0.945298948,2354.344,3.066759387,294.6205
0.7407407,88.88889,1.851852,2.592593,0.3703704,0.7407407,1.851852,0.3703704,0.3703704,0.3703704,1.851852,0.685139183,1765.3,2.575117058,292.8087
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,16.77362,0.020707741,234.1304
0,52,0,0,0,0,0,0,0,0,48,1.017161201,1611.111111,1.871383068,291.0880737
1.686341,92.74874,1.686341,1.180438,0.1686341,0.3372681,0.8431703,0.1686341,0.1686341,0.1686341,0.8431703,0.618590173,802.0863,1.129779446,286.4255
0,90,0,0,0,0,0,0,0,0,10,0.65031757,2277.777778,3.219929005,292.6039124
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,841.2837,1.038600181,288.8156
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,130.255,0.192385966,272.4052
4.411765,73.52941,6.25,2.573529,0.3676471,0.7352941,1.838235,0.3676471,0.3676471,0.3676471,9.191176,0.779020869,536.3939,0.662200874,285.6207
4.520796,86.79928,0.9041591,1.265823,0.1808318,0.3616637,0.9041591,0.1808318,0.1808318,0.1808318,4.520796,0.655660836,1098.754,1.380334749,288.3981
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0.82973851,1249.867,1.555961701,293.5119
1.677852,83.89262,5.704698,2.348993,0.3355705,0.6711409,1.677852,0.3355705,0.3355705,0.3355705,2.684564,0.702698121,1334.547,1.866520311,291.743
0.530504,92.8382,1.32626,1.856764,0.265252,0.530504,1.32626,0.265252,0.265252,0.265252,0.530504,0.64017476,1548.889,2.287701097,291.4813
0,78.14,0,0,0,0,0,0,0,0,21.86,0.764811398,2055.555556,2.721456861,292.3765564
