Water,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Heptane,Carbon Dioxide,Nitrogen,H2S,SPECIFIC GRAVITY,Pressure (psia),PR,TPC,Hydrate Temperature (K)
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2725.124,3.391213139,265.3190548,297.3086
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2656.269,3.305528238,265.3190548,297.174
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2587.415,3.219844581,265.3190548,297.037
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2518.653,3.134275411,265.3190548,296.8975
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2449.986,3.048824462,265.3190548,296.7554
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2381.418,2.963496711,265.3190548,296.6104
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2312.956,2.878300869,265.3190548,296.4625
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2244.603,2.793240669,265.3190548,296.3115
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2176.367,2.708326067,265.3190548,296.1569
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2108.253,2.623563285,265.3190548,295.9987
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,2040.269,2.538962278,265.3190548,295.8364
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,1972.422,2.454531758,265.3190548,295.6698
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,1904.721,2.370282923,265.3190548,295.4984
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,1837.175,2.286226975,265.3190548,295.3217
5.714286,64.7619,16.19048,6.666667,0.952381,1.904762,0.952381,0.952381,0.952381,0.952381,0,0,0.00,0.82973851,1820.093,2.264969703,265.3190548,295.2761
