Specific Gravity;Pressure (psia);Hydrate Temperature (K)
0.761791681;2698.844664;296.8420285
0.668342084;2276.003169;294.1507088
0.611411069;2144.791765;292.6519191
0.5900522;1573.007113;290.3769707
0.603406533;632.7705679;285.0285149
0.514437213;199.7824817;275.1841583
0.735665349;1002.577051;290.4708705
0.968179905;723.3359115;291.9285874
0.965323108;2110.623859;298.5288605
0.992720055;1178.117565;295.3589734
0.956429431;1353.48346;295.730305
0.56881525;2216.208566;291.907288
0.548802623;1664.825427;289.7822863
0.752720276;665.4814529;288.1575139
0.516292885;1661.983518;288.99061
0.812707552;513.8424097;287.4317645
0.751715438;2234.685604;295.5776988
0.91781027;2060.320293;297.7207055
0.986505253;2040.855929;298.6164112
0.502678717;1709.695681;288.8149485
0.901829596;1323.330579;294.8242592
0.793655765;1271.455965;292.918192
0.674274465;1754.616133;292.7447028
0.680063051;2101.322872;293.9135458
0.551995609;877.8180685;285.9804193
0.81203386;2618.061952;297.5069158
0.55155134;1880.9261;290.5608806
0.770938541;2454.942082;296.4534634
0.777110359;921.8189431;290.6488238
0.705873912;357.9157724;283.2020925
0.798903657;290.1757709;283.2891641
0.526823918;1431.142592;288.3645942
0.909424209;231.9521946;283.3045243
0.912780882;217.6432938;282.8848146
0.812181748;806.666492;290.3692526
0.766024567;245.0612121;281.5589022
0.75471225;576.7925001;287.2567069
0.605282654;484.1903391;283.3168131
0.69505707;1560.249737;292.4395512
0.841889372;974.7595161;292.0321467
0.880672628;664.1626963;290.1525069
0.712904494;1264.68562;291.4986849
0.959829353;1473.400577;296.2961947
0.595081541;842.4644762;286.6751008
0.891746503;1308.437502;294.6082052
0.83886644;674.8383712;289.6328945
0.713989683;1655.22639;293.14026
0.852177879;1590.17909;295.2022336
0.675633722;235.9061602;279.7266309
0.628305977;202.9846035;277.7446158
0.733264764;1462.527844;292.743778
0.560726878;2162.604497;291.5815483
0.548453142;1904.593465;290.5612635
0.698242588;1050.558409;290.0911243
0.726457728;2232.661678;295.1259346
0.748008816;782.5201161;289.1202037
0.903291116;677.0104414;290.6033657
0.825237738;1977.115887;296.0809574
0.505808721;2440.057153;290.9437835
0.536739914;2595.550107;292.0592903
0.622270889;981.0003616;288.193221
0.803184426;1168.536108;292.5536357
0.898438356;590.1772477;289.632113
0.516960722;2123.074049;290.4293506
0.51723191;291.7915246;277.9321333
0.737419173;1396.865936;292.5394097
0.901634712;753.7318618;291.277089
0.88392244;791.2366175;291.3344187
0.696893402;2580.095605;295.4178609
0.622182699;2254.860589;293.1672479
0.99039782;1409.687323;296.4369714
0.591168591;979.3075195;287.5296598
0.635055047;1433.053315;290.7656773
0.714290493;1395.040394;292.1194505
0.93066738;1612.376568;296.4387052
0.502067773;2277.855616;290.4568441
0.633128842;2506.190585;294.0006034
0.644962724;463.5232601;283.8230456
0.898563339;2306.816839;298.1059154
0.846415735;1489.523215;294.718733
0.701215948;2057.44211;294.1888539
0.554389572;280.8691509;278.520359
0.76384963;579.2354741;287.4374719
0.982763702;2681.0264;300.1666609
0.995781523;1048.294674;294.6681079
0.5876808;1152.970537;288.4571898
0.515141681;2064.611694;290.2234047
0.620666656;758.2784929;286.5438251
0.639076584;2371.619351;293.8056843
0.918971722;1153.768221;294.2224655
0.771168909;1542.863659;293.7194346
0.865002784;1337.969904;294.3484239
0.692067101;1683.434956;292.8366212
0.535259746;835.7238255;285.2845992
0.609051128;2287.189095;292.97272
0.881121701;548.6009126;288.8983204
0.780802926;888.8991344;290.4802227
0.629269103;1473.911586;290.8164028
0.50492985;283.0921131;277.4263195
0.960892912;1966.43358;298.0486111
0.878235606;891.1523284;292.0111327
0.98887927;1009.65076;294.3406842
0.99899004;766.8256497;292.7128499
0.701841545;2241.618806;294.6994965
0.515304888;984.015202;285.8177301
0.914171575;478.2005839;288.4472251
0.751871351;496.708814;286.2182509
0.80150802;2200.971257;296.3286523
0.525518722;216.4849568;276.0219271
0.939894799;182.7341341;281.9533874
0.521383987;2404.947306;291.2519163
0.779930149;1601.00565;294.0884345
0.585595443;2210.01182;292.2667889
0.901971992;203.8916819;282.2550809
0.721963782;1084.694073;290.7182384
0.809655368;2111.642654;296.2186274
0.956965611;1784.783983;297.4159874
0.870579104;858.5566224;291.6609509
0.787688576;1436.621101;293.5641542
0.831376521;2314.91447;297.1033701
0.993130728;941.9594597;293.9568267
0.863660985;199.4828751;281.5522437
0.928056857;1907.346359;297.4092082
0.640862483;1599.473776;291.5391492
0.809192339;2295.202519;296.6983624
0.952991913;1782.395921;297.3532272
0.601326483;1469.552078;290.2150311
0.55300381;2133.612927;291.324997
0.502440994;2295.676461;290.5108511
0.67435937;1147.380972;290.1881022
0.964387271;829.8120557;292.7657402
0.524648063;741.7583677;284.2825303
0.774064479;716.2674923;288.9901708
0.957708671;2425.931867;299.242361
0.809202949;534.599056;287.6406412
0.704622205;1055.977465;290.239734
0.515535327;2096.499111;290.3214498
0.779802159;1394.966294;293.2551582
0.888439784;2619.407951;298.695596
0.90629093;1388.177547;295.1816812
0.849077831;2200.429323;297.0838818
0.848248873;1628.023119;295.2834097
0.639429915;2593.669629;294.3254663
0.865994616;2003.163108;296.7903566
0.5305835;722.2952718;284.2557011
0.932074794;2648.437768;299.3935945
0.566838414;1231.257299;288.3955603
0.592866111;393.8681977;281.6755156
0.914028874;1225.748152;294.5275071
0.891949055;1186.453431;294.0075687
0.910075367;1644.259325;296.26353
0.57765721;1712.762602;290.6070473
0.922966153;2125.757659;297.9790999
0.836517533;2233.173367;296.9745241
0.693036951;603.4416351;286.4709136
0.544936547;2169.427093;291.2314939
0.91909133;2392.455732;298.6170177
0.812461556;2256.390606;296.6518523
0.731875549;1446.614386;292.6532475
0.955188712;2660.255216;299.7439733
0.981198394;1318.910658;295.9056686
0.979548531;1959.733408;298.2819021
0.689292552;1810.763477;293.2162105
0.827629691;1629.402409;294.9672611
0.564449512;2448.26108;292.3779888
0.630303797;1660.151955;291.5458578
0.808598801;2545.135597;297.288191
0.761446557;1978.637906;295.0337431
0.695440123;2588.713824;295.4096889
0.68997753;1692.279539;292.8285682
0.513058646;950.1552904;285.5468584
0.992411131;1148.083145;295.1938879
0.861463171;1738.191244;295.8780921
0.668010289;974.7836952;289.0592164
0.704697908;366.3271129;283.3408769
0.843891801;2507.177366;297.7635035
0.826484873;992.4044613;291.9063656
0.575904694;533.655499;283.3342939
0.811677578;483.5827091;287.0092302
0.745188327;677.4484596;288.1448423
0.721023247;595.274135;286.8838394
0.97018332;188.7586143;282.5923084
0.891218118;1808.588961;296.5602224
0.955614612;421.9658172;288.160812
0.786300649;380.9439128;284.9867982
0.782445258;1972.799934;295.371562
0.990611256;2193.051615;299.0969
0.945168229;1374.541654;295.6701146
0.970837106;241.4989417;284.4188086
0.525148425;767.6558476;284.5110381
0.696267388;2239.892182;294.5911063
0.56355167;173.9327407;275.2829576
0.686054946;1875.303366;293.3614707
0.783111804;1462.14456;293.5950478
0.885599683;1349.858268;294.7091406
0.711662557;1775.905925;293.5157619
0.761529445;1225.090338;292.155828
0.774743363;1146.77306;291.9714865
0.948986678;1590.017299;296.6099342
0.817753748;760.5124966;290.0793295
0.81232338;2085.425411;296.1884006
0.50482866;1151.749389;286.5183481
0.846043287;758.0550599;290.4951806
0.587482766;1245.809312;288.9234266
0.557986125;826.1419753;285.7375005
0.983670027;588.4808051;290.776414
0.902265813;1005.871655;293.1261242
0.853461506;2611.49214;298.1479124
0.78657092;1796.365975;294.8860206
0.875098475;1469.241997;295.0702806
0.882759719;1699.070553;296.0614435
0.549297887;2388.32049;291.8849949
0.83211334;236.4523383;282.332787
0.859449027;2261.0644;297.4026008
0.841829636;2449.394891;297.5960973
0.747244787;1102.69462;291.2630659
0.701569701;326.8050867;282.4968276
0.50568535;1398.036728;287.7035379
0.736040407;586.6249964;287.0495739
0.573558551;818.6922796;286.0286939
0.640874552;2044.559271;292.9837259
0.774854428;714.4033792;288.9863975
0.796266712;2513.76083;297.0145502
0.90791256;269.7991654;284.3764018
0.683491911;361.036115;282.8583812
0.745321972;200.6075962;279.7642961
0.624231291;2212.974394;293.101659
0.545295558;297.2341281;278.7107914
0.850478577;2432.008579;297.6893053
0.828295309;449.7758751;286.7776684
0.656694855;766.7694411;287.3307599
0.512096685;2501.672769;291.2442991
0.930408115;2083.085143;297.9652457
0.787678501;2687.063655;297.2559978
0.626313441;225.1031502;278.4539702
0.830718133;1346.719803;293.8621641
0.521524854;2405.106401;291.2557729
0.654388981;2570.062129;294.5744271
0.890693292;2590.298923;298.6643828
0.970934483;2418.999652;299.407226
0.625495169;1259.409658;289.7916729
0.517117493;330.2280339;278.7820722
0.724895352;1789.571381;293.8004436
0.895259042;719.8605592;290.8879744
0.774383179;239.007048;281.5138679
0.513081343;2317.061081;290.8331693
0.805814086;1948.759251;295.6839391
0.870463647;2112.760928;297.1721006
0.708329936;1718.472884;293.2599969
0.751931317;1584.405748;293.5508192
0.967100746;2327.974779;299.1302817
0.755026609;315.4124137;283.1681534
0.566288027;2009.448125;291.2842811
0.666466186;1253.152933;290.5757664
0.644741449;1226.760151;290.0206691
0.861302766;2336.863193;297.6235178
0.898840643;2508.334615;298.5981698
0.592591529;686.5149712;285.3244024
0.573292488;1341.348061;289.0565549
0.894737551;634.7646693;290.0592475
0.68031348;1063.046969;289.8306322
0.634063257;921.7696227;288.0448826
0.884456644;827.788928;291.631866
0.732368491;147.2270241;277.2369754
0.983588732;2452.80482;299.6598959
0.847349898;1828.180391;295.9629912
0.627325245;1922.45679;292.3478578
0.5905941;1077.740421;288.1075378
0.926895486;800.1849075;292.0191883
0.700520828;1703.733485;293.0651142
0.919785706;2025.891153;297.6493307
0.695723133;575.0996271;286.2052247
0.978340503;622.5310409;291.0791404
0.978924838;787.516721;292.6224659
0.934007769;1272.811537;295.042129
0.866457594;2206.484173;297.3663699
0.900870265;587.2036245;289.6333177
0.671057983;1288.07496;290.8311398
0.791032335;2043.091238;295.7202346
0.639130476;1766.728527;292.0929562
0.963531229;2226.566903;298.8197476
0.521073255;160.4755975;273.7361162
0.938764577;201.6076339;282.6712019
0.599490962;834.5977316;286.7097763
0.646761099;1137.23589;289.597821
0.989050211;1506.981556;296.8269241
0.841726338;342.3004642;285.1054684
0.59258256;424.0488099;282.1669629
0.876464754;2338.047543;297.8562893
0.698183057;2475.452368;295.2043397
0.834671984;2151.719654;296.7279496
0.74582555;1086.38102;291.1463016
0.982592886;1119.075168;294.9042292
0.994022366;949.7606425;294.0209039
0.824090417;966.801159;291.7047201
0.830753525;1151.760151;292.9012013
0.889267114;1266.748045;294.3728244
0.55432797;2625.751193;292.5416726
0.955050696;883.0531868;293.0379072
0.500400078;491.7139812;281.043476
0.768204455;218.6452379;280.7688164
0.944195121;1337.686049;295.4898529
0.615778701;2294.54234;293.1335872
0.518769331;976.2427921;285.8536528
0.917563043;2391.828132;298.5935056
0.622083186;942.9000517;287.9432088
0.828826918;1765.133095;295.4648507
0.689423077;1017.658913;289.7307563
0.575033529;2357.505472;292.4024387
0.830308872;204.7201978;281.2532762
0.843115285;908.0468811;291.6035039
0.728122353;2528.733892;295.8756831
0.507795268;176.7194435;274.1338559
0.689422093;1983.673839;293.7547507
0.863268276;1277.263735;294.0375458
0.891552646;1872.156934;296.7710443
0.956873106;696.513246;291.5306939
0.552684164;1467.04836;289.1241006
0.624373925;1383.53803;290.3364337
0.908140315;1642.775661;296.2302007
0.554931305;317.9178716;279.3922848
0.980633059;1759.889157;297.6532081
0.50785998;1094.87098;286.2866914
0.610093255;2372.903348;293.2062494
0.612123893;1953.239278;292.1235336
0.874923921;1851.907271;296.4593011
0.8344792;1653.632225;295.163407
0.545263987;875.3490521;285.8076999
0.697967976;1277.588121;291.287619
0.942319032;1828.788723;297.3589155
0.698489611;960.3082998;289.5368337
0.799503311;1754.898741;294.9598462
0.884234724;1154.277663;293.7241654
0.818425671;1981.973769;295.9869046
0.652868376;1427.65385;291.0990005
0.601357702;1401.801055;289.9331894
0.729380265;2373.941586;295.5340159
0.796803057;2250.872247;296.3823288
0.50649327;1838.416832;289.3348702
0.660206853;1842.148146;292.7587288
0.931699368;1353.225078;295.3866586
0.987714261;2404.10112;299.5980755
0.698136017;2393.809751;295.0103362
0.872703151;1944.111107;296.7145548
0.834992194;2328.649628;297.1948772
0.871808875;1963.511725;296.7599242
0.820184184;1989.108646;296.0362074
0.602613363;1031.982505;288.0974272
0.573026478;215.4102066;277.0447648
0.561237866;2699.808722;292.8594714
0.711691634;1474.209349;292.4052357
0.650037838;2447.783149;294.2083817
0.698727632;455.1222916;284.7073482
0.753068811;799.6686472;289.3447851
0.56017659;2677.348068;292.7877035
0.547087013;939.2429227;286.2876059
0.955814385;2488.925295;299.3657262
0.659020112;2455.145004;294.4042644
0.565933211;668.7600219;284.5765045
0.734010825;342.3930869;283.3857517
0.5798835;2437.829613;292.702687
0.990036041;2015.882149;298.5904864
0.831326529;2250.154318;296.9370317
0.557029298;1923.158719;290.8171833
0.644110263;1687.09343;291.9207728
0.726443905;1001.46171;290.3019104
0.971723713;902.888112;293.4040827
0.520111135;148.9360469;273.1581251
0.60348255;935.7342884;287.5093889
0.837336648;610.2220232;288.9511175
0.658450154;1430.356053;291.2200053
0.723452679;1358.663893;292.1241525
0.828517393;198.7051533;281.0065203
0.532040182;405.3296459;280.5228205
0.527496939;1202.820125;287.3383362
0.960272087;2006.254647;298.1591994
0.531810489;1113.693251;286.9746908
0.621367131;2166.910338;292.9204618
0.589649057;884.8692254;286.8663487
0.545256506;692.7456003;284.333282
0.635395025;1958.897524;292.6229469
0.914407581;1201.587083;294.4096934
0.593310507;2553.755763;293.2642593
0.608063271;1270.078364;289.4806851
0.683524794;869.3918667;288.6359939
0.598900463;2694.459961;293.6907888
0.592588227;331.1393922;280.4859815
0.732048558;1358.73915;292.2771503
0.86100939;1664.557475;295.6118419
0.648176272;251.9875247;279.6847809
0.682925909;2191.760393;294.2131543
0.802950767;2400.184233;296.8566959
0.887407094;2302.193764;297.9294966
0.832132913;1972.635533;296.176547
0.541626843;2524.84589;292.0197915
0.954017092;717.6512223;291.6870281
0.529359115;1696.15643;289.4297483
0.535239972;2339.741731;291.4332283
0.605495527;2162.040913;292.5724052
0.811520797;558.6103422;287.9685601
0.762400165;807.2056735;289.5622552
0.822062471;2519.335517;297.446513
0.902251277;1232.064479;294.3903555
0.71133386;2339.492773;295.1222253
0.799939961;799.0764072;290.1138437
0.993136602;341.9430404;287.1917753
0.65846413;2027.757862;293.2867141
0.877168443;2346.044883;297.8867901
0.962548058;1215.17779;295.1483897
0.796638465;2230.988406;296.3278685
0.8798088;1706.618604;296.0441794
0.548993866;1572.974028;289.4519684
0.875376133;1152.981284;293.5864063
0.636337622;521.6608664;284.43789
0.98624437;2016.627154;298.542007
0.540436826;860.4965266;285.5886095
0.872574391;609.0791345;289.4661019
0.544150927;938.5025216;286.2145887
0.978051939;965.3160602;293.9133748
0.750316709;1090.420195;291.2466197
0.732229131;887.0625046;289.6431001
0.828999095;2605.661105;297.7517469
0.875631367;515.3066665;288.4004961
0.802629113;1987.878263;295.7493859
0.507122774;1561.291151;288.3940846
0.992652789;592.4561429;290.9380875
0.620418435;1463.89784;290.5934754
0.515505782;2198.429194;290.5933089
0.899576631;732.1038463;291.0592528
0.531710447;512.1381224;282.066229
0.587720466;1248.304052;288.9407081
0.868449325;1228.46179;293.8755052
0.518837603;515.0106921;281.7972327
0.78575853;2645.640306;297.1346547
0.956256651;1260.27786;295.2883804
0.550235026;1270.453041;288.205708
0.80017102;1460.207188;293.8670117
0.70585178;1546.732561;292.5868798
0.982540875;1833.294722;297.9239221
0.94428867;1670.404196;296.8426569
0.5433796;1075.448127;287.0346694
0.798857768;779.9937954;289.9417793
0.500719872;718.8976687;283.4984456
0.945260682;248.4493213;284.2890983
0.597077044;2055.070269;292.0975578
0.787999226;1226.051062;292.6025214
0.884532482;663.4951652;290.2020666
0.612168913;1353.443025;289.9507333
0.91008382;1994.398636;297.4169894
0.876978362;2306.365494;297.7843327
0.764487507;355.1355739;284.14921
0.685989797;1019.402129;289.6774102
0.862743145;1927.837681;296.5141337
0.9656803;2069.214255;298.4165016
0.527196755;1375.068286;288.1352928
0.844535021;1012.181263;292.3092712
0.954661713;2454.684331;299.2689672
0.600900393;932.9363249;287.4362331
0.662558038;1190.026031;290.1849964
0.796531712;1410.136172;293.5963058
0.575396122;970.3665977;287.1292084
0.73938311;2671.589764;296.3921446
0.900451506;583.593797;289.5865321
0.664585955;1794.624721;292.6904184
0.764482335;778.1769278;289.363331
0.894971999;2164.983951;297.6810136
0.819937045;1533.618484;294.4809256
0.507839915;2198.675282;290.401439
0.737732018;866.9227472;289.5940068
0.787677178;1840.722208;295.0490944
0.514741987;1111.659085;286.5497934
0.775146479;2002.889202;295.3382209
0.819986578;2270.777682;296.8099357
0.810888058;1500.665611;294.2053097
0.553277358;2352.411157;291.8916675
0.682245905;2636.391758;295.263881
0.869689663;1035.794099;292.8336131
0.600920946;965.0999631;287.6472412
0.675089982;587.7541708;285.9667398
0.561876663;1215.659496;288.2062635
0.993790289;1600.993045;297.2574918
0.83558044;1868.16012;295.9084671
0.99017596;177.0736309;282.3671904
0.972234625;436.1268298;288.6068517
0.77736773;1392.546683;293.2040665
0.894401468;814.8456692;291.6751427
0.835013368;2172.275877;296.7890556
0.770457934;1950.815881;295.103922
0.945687423;2120.461115;298.2850809
0.665318554;1367.918015;291.0847511
0.825111416;1134.54392;292.7196382
0.936945893;265.2706265;284.6509602
0.609729609;1716.738053;291.3161216
0.898217497;1245.772719;294.4003134
0.76130661;1304.508121;292.5362393
0.803280663;1434.502643;293.8098407
0.937415788;2648.498671;299.4694047
0.623991189;346.5722881;281.4409382
0.5791807;1934.637326;291.3539066
0.504752004;904.815762;285.0387016
1;62.5;274.8166667
0.9;74.8;274.8166667
0.8;92.4;274.8166667
0.7;117.22;274.8166667
0.6;175.6;274.8166667
1;64.8;275.15
0.9;77.3;275.15
0.8;94.8;275.15
0.7;119;275.15
0.6;183.4;275.15
1;68.68;275.5111111
0.9;80;275.5111111
0.8;97.4;275.5111111
0.7;124.2;275.5111111
0.6;191.5;275.5111111
1;72.3;275.8444444
0.9;84.8;275.8444444
0.8;104.4;275.8444444
0.7;129.68;275.8444444
0.6;195.7;275.8444444
1;74.8;276.2055556
0.9;90;276.2055556
0.8;109.05;276.2055556
0.7;135.4;276.2055556
0.6;200;276.2055556
1;77.3;276.5388889
0.9;94.87;276.5388889
0.8;113.88;276.5388889
0.7;141.42;276.5388889
0.6;210.4;276.5388889
1;80;276.9
0.9;97.4;276.9
0.8;118.92;276.9
0.7;147.68;276.9
0.6;221.37;276.9
1;84.4;277.2333333
0.9;100;277.2333333
0.8;113.88;277.2333333
0.7;154.22;277.2333333
0.6;232.86;277.2333333
1;90;277.5944444
0.9;109;277.5944444
0.8;129;277.5944444
0.7;161.05;277.5944444
0.6;244.95;277.5944444
1;92.4;277.9277778
0.9;110;277.9277778
0.8;130;277.9277778
0.7;168.18;277.9277778
0.6;245.5;277.9277778
1;94.87;278.2888889
0.9;111;278.2888889
0.8;131;278.2888889
0.7;175.6;278.2888889
0.6;257.68;278.2888889
1;97.4;278.6222222
0.9;112;278.6222222
0.8;135.4;278.6222222
0.7;177;278.6222222
0.6;260;278.6222222
1;104.4;278.9833333
0.9;113.88;278.9833333
0.8;147.42;278.9833333
0.7;183.4;278.9833333
0.6;271.08;278.9833333
1;109.05;279.3166667
0.9;129.68;279.3166667
0.8;154.2;279.3166667
0.7;192;279.3166667
0.6;285.17;279.3166667
1;118;279.6777778
0.9;131;279.6777778
0.8;156;279.6777778
0.7;200;279.6777778
0.6;300;279.6777778
1;124;280.0111111
0.9;141.2;280.0111111
0.8;175;280.0111111
0.7;210;280.0111111
0.6;311;280.0111111
1;129.68;280.3722222
0.9;147.68;280.3722222
0.8;183;280.3722222
0.7;221;280.3722222
0.6;322;280.3722222
1;135;280.7055556
0.9;154;280.7055556
0.8;191;280.7055556
0.7;232;280.7055556
0.6;330;280.7055556
1;141.42;281.0666667
0.9;168;281.0666667
0.8;200;281.0666667
0.7;244;281.0666667
0.6;347;281.0666667
1;147.68;281.4
0.9;175.6;281.4
0.8;210;281.4
0.7;257;281.4
0.6;368;281.4
1;154.22;281.7611111
0.9;183;281.7611111
0.8;223;281.7611111
0.7;271;281.7611111
0.6;380;281.7611111
1;168.18;282.0944444
0.9;195;282.0944444
0.8;232;282.0944444
0.7;285;282.0944444
0.6;402;282.0944444
1;175.6;282.4555556
0.9;200;282.4555556
0.8;245;282.4555556
0.7;300;282.4555556
0.6;423;282.4555556
1;183.4;282.7888889
0.9;210;282.7888889
0.8;271;282.7888889
0.7;311;282.7888889
0.6;445;282.7888889
1;195.7;283.15
0.9;221;283.15
0.8;285;283.15
0.7;322;283.15
0.6;470;283.15
1;200;283.4833333
0.9;232;283.4833333
0.8;300;283.4833333
0.7;330;283.4833333
0.6;490;283.4833333
1;210;283.8444444
0.9;245;283.8444444
0.8;311;283.8444444
0.7;350;283.8444444
0.6;505;283.8444444
1;215;284.1777778
0.9;257;284.1777778
0.8;322;284.1777778
0.7;372;284.1777778
0.6;538;284.1777778
1;221.37;284.5388889
0.9;271;284.5388889
0.8;346;284.5388889
0.7;392;284.5388889
0.6;560;284.5388889
1;232;284.8722222
0.9;285;284.8722222
0.8;372;284.8722222
0.7;420;284.8722222
0.6;580;284.8722222
1;257.68;285.2333333
0.9;300;285.2333333
0.8;385;285.2333333
0.7;430;285.2333333
0.6;604;285.2333333
1;271.08;285.5666667
0.9;311;285.5666667
0.8;400;285.5666667
0.7;450;285.5666667
0.6;645;285.5666667
1;285.17;285.9277778
0.9;324;285.9277778
0.8;423;285.9277778
0.7;470;285.9277778
0.6;670;285.9277778
1;300;286.2611111
0.9;346;286.2611111
0.8;447;286.2611111
0.7;500;286.2611111
0.6;703;286.2611111
1;311;286.6222222
0.9;372;286.6222222
0.8;460;286.6222222
0.7;527;286.6222222
0.6;745;286.6222222
1;322.2;286.9555556
0.9;400;286.9555556
0.8;472;286.9555556
0.7;445;286.9555556
0.6;770;286.9555556
1;346.41;287.3166667
0.9;423;287.3166667
0.8;500;287.3166667
0.7;570;287.3166667
0.6;800;287.3166667
1;372.24;287.65
0.9;447;287.65
0.8;523;287.65
0.7;600;287.65
0.6;820;287.65
1;400;288.0111111
0.9;472;288.0111111
0.8;547;288.0111111
0.7;645;288.0111111
0.6;885;288.0111111
1;422.8;288.3444444
0.9;485;288.3444444
0.8;573;288.3444444
0.7;670;288.3444444
0.6;920;288.3444444
1;447.21;288.7055556
0.9;500;288.7055556
0.8;600;288.7055556
0.7;700;288.7055556
0.6;960;288.7055556
1;472.86;289.0388889
0.9;523;289.0388889
0.8;648;289.0388889
0.7;745;289.0388889
0.6;1020;289.0388889
1;485;289.4
0.9;547;289.4
0.8;700;289.4
0.7;790;289.4
0.6;1090;289.4
1;523;289.7333333
0.9;573;289.7333333
0.8;748;289.7333333
0.7;810;289.7333333
0.6;1120;289.7333333
1;573;290.0944444
0.9;623;290.0944444
0.8;773;290.0944444
0.7;845;290.0944444
0.6;1190;290.0944444
1;600;290.4277778
0.9;673;290.4277778
0.8;800;290.4277778
0.7;870;290.4277778
0.6;1200;290.4277778
1;648;290.7888889
0.9;700;290.7888889
0.8;848;290.7888889
0.7;920;290.7888889
0.6;1300;290.7888889
1;673;291.1222222
0.9;748;291.1222222
0.8;900;291.1222222
0.7;970;291.1222222
0.6;1350;291.1222222
1;775;291.4833333
0.9;800;291.4833333
0.8;974;291.4833333
0.7;1010;291.4833333
0.6;1420;291.4833333
1;848;291.8166667
0.9;873;291.8166667
0.8;1090;291.8166667
0.7;1100;291.8166667
0.6;1476;291.8166667
1;900;292.1777778
0.9;900;292.1777778
0.8;1192;292.1777778
0.7;1190;292.1777778
0.6;1560;292.1777778
1;948;292.5111111
0.9;974;292.5111111
0.8;1280;292.5111111
0.7;1300;292.5111111
0.6;1680;292.5111111
1;1000;292.8722222
0.9;1010;292.8722222
0.8;1300;292.8722222
0.7;1350;292.8722222
0.6;1830;292.8722222
1;1092;293.2055556
0.9;1090;293.2055556
0.8;1410;293.2055556
0.7;1470;293.2055556
0.6;1980;293.2055556
1;1189;293.5666667
0.9;1189;293.5666667
0.8;1476;293.5666667
0.7;1550;293.5666667
0.6;2180;293.5666667
1;1296;293.9
0.9;1296;293.9
0.8;1542;293.9
0.7;1680;293.9
0.6;2350;293.9
1;1414;294.2611111
0.9;1414;294.2611111
0.8;1681;294.2611111
0.7;1750;294.2611111
0.6;2500;294.2611111
1;1476;294.5944444
0.9;1418;294.5944444
0.8;1834;294.5944444
0.7;1850;294.5944444
0.6;2700;294.5944444
1;1681;294.9555556
0.9;1542;294.9555556
0.8;1915;294.9555556
0.7;1920;294.9555556
0.6;2851;294.9555556
1;1834;295.2888889
0.9;1681.78;295.2888889
0.8;2000;295.2888889
0.7;2200;295.2888889
1;1915;295.65
0.9;1834;295.65
0.8;2180;295.65
0.7;2320;295.65
1;2000;295.9833333
0.9;1915;295.9833333
0.8;2328;295.9833333
0.7;2450;295.9833333
1;2213;296.3444444
0.9;2213;296.3444444
0.8;2705;296.3444444
0.7;2700;296.3444444
1;2449;296.6777778
0.9;2450;296.6777778
0.7;2800;296.6777778
1;2710;297.0388889
0.9;2710;297.0388889
0.7;2900;297.0388889
1;2850;297.3722222
1;3000;297.7333333
0.865546229;2725.124;297.3086
0.865546229;2656.269;297.174
0.865546229;2587.415;297.037
0.865546229;2518.653;296.8975
0.865546229;2449.986;296.7554
0.865546229;2381.418;296.6104
0.865546229;2312.956;296.4625
0.865546229;2244.603;296.3115
0.865546229;2176.367;296.1569
0.865546229;2108.253;295.9987
0.865546229;2040.269;295.8364
0.865546229;1972.422;295.6698
0.865546229;1904.721;295.4984
0.865546229;1837.175;295.3217
0.865546229;1820.093;295.2761
0.865546229;1811.306;295.2525
0.865546229;1809.096;295.2465
0.865546229;1808.645;295.2453
0.865546229;1806.876;295.2417
0.865546229;1805.767;295.2393
0.865546229;1803.504;295.2342
0.865546229;1798.901;295.2238
