Specific Gravity,Pressure (psia),LOG P,Hydrate Temperature (K)
0.761791681,2698.844664,7.900579058,296.8420285
0.668342084,2276.003169,7.730176188,294.1507088
0.611411069,2144.791765,7.670797747,292.6519191
0.5900522,1573.007113,7.360744425,290.3769707
0.603406533,632.7705679,6.450107904,285.0285149
0.514437213,199.7824817,5.297229183,275.1841583
0.735665349,1002.577051,6.910329015,290.4708705
0.968179905,723.3359115,6.583873722,291.9285874
0.965323108,2110.623859,7.654738851,298.5288605
0.992720055,1178.117565,7.07167316,295.3589734
0.956429431,1353.48346,7.210436889,295.730305
0.56881525,2216.208566,7.703553162,291.907288
0.548802623,1664.825427,7.417475548,289.7822863
0.752720276,665.4814529,6.500510768,288.1575139
0.516292885,1661.983518,7.415767058,288.99061
0.812707552,513.8424097,6.241916623,287.4317645
0.751715438,2234.685604,7.711855828,295.5776988
0.91781027,2060.320293,7.630616732,297.7207055
0.986505253,2040.855929,7.621124572,298.6164112
0.502678717,1709.695681,7.444070669,288.8149485
0.901829596,1323.330579,7.187907004,294.8242592
0.793655765,1271.455965,7.147917952,292.918192
0.674274465,1754.616133,7.470005384,292.7447028
0.680063051,2101.322872,7.650322364,293.9135458
0.551995609,877.8180685,6.777439361,285.9804193
0.81203386,2618.061952,7.87018961,297.5069158
0.55155134,1880.9261,7.539519541,290.5608806
0.770938541,2454.942082,7.805858448,296.4534634
0.777110359,921.8189431,6.82634883,290.6488238
0.705873912,357.9157724,5.880297686,283.2020925
0.798903657,290.1757709,5.670486846,283.2891641
0.526823918,1431.142592,7.26622842,288.3645942
0.909424209,231.9521946,5.446531293,283.3045243
0.912780882,217.6432938,5.382857456,282.8848146
0.812181748,806.666492,6.692910314,290.3692526
0.766024567,245.0612121,5.501508025,281.5589022
0.75471225,576.7925001,6.357482583,287.2567069
0.605282654,484.1903391,6.182478092,283.3168131
0.69505707,1560.249737,7.352601175,292.4395512
0.841889372,974.7595161,6.88219079,292.0321467
0.880672628,664.1626963,6.498527144,290.1525069
0.712904494,1264.68562,7.142578849,291.4986849
0.959829353,1473.400577,7.295328326,296.2961947
0.595081541,842.4644762,6.736331497,286.6751008
0.891746503,1308.437502,7.176588958,294.6082052
0.83886644,674.8383712,6.514473212,289.6328945
0.713989683,1655.22639,7.41169307,293.14026
0.852177879,1590.17909,7.371601924,295.2022336
0.675633722,235.9061602,5.4634341,279.7266309
0.628305977,202.9846035,5.313130131,277.7446158
0.733264764,1462.527844,7.287921618,292.743778
0.560726878,2162.604497,7.67906856,291.5815483
0.548453142,1904.593465,7.552023861,290.5612635
0.698242588,1050.558409,6.95707712,290.0911243
0.726457728,2232.661678,7.71094973,295.1259346
0.748008816,782.5201161,6.66251963,289.1202037
0.903291116,677.0104414,6.517686696,290.6033657
0.825237738,1977.115887,7.589394439,296.0809574
0.505808721,2440.057153,7.799776741,290.9437835
0.536739914,2595.550107,7.86155376,292.0592903
0.622270889,981.0003616,6.888572828,288.193221
0.803184426,1168.536108,7.063507055,292.5536357
0.898438356,590.1772477,6.380422912,289.632113
0.516960722,2123.074049,7.660620341,290.4293506
0.51723191,291.7915246,5.67603959,277.9321333
0.737419173,1396.865936,7.241986389,292.5394097
0.901634712,753.7318618,6.625036684,291.277089
0.88392244,791.2366175,6.67359706,291.3344187
0.696893402,2580.095605,7.855581733,295.4178609
0.622182699,2254.860589,7.720843427,293.1672479
0.99039782,1409.687323,7.251123202,296.4369714
0.591168591,979.3075195,6.886845709,287.5296598
0.635055047,1433.053315,7.267562632,290.7656773
0.714290493,1395.040394,7.24067865,292.1194505
0.93066738,1612.376568,7.385464499,296.4387052
0.502067773,2277.855616,7.73098976,290.4568441
0.633128842,2506.190585,7.826519184,294.0006034
0.644962724,463.5232601,6.138856567,283.8230456
0.898563339,2306.816839,7.743623861,298.1059154
0.846415735,1489.523215,7.306211358,294.718733
0.701215948,2057.44211,7.629218796,294.1888539
0.554389572,280.8691509,5.637888906,278.520359
0.76384963,579.2354741,6.361709086,287.4374719
0.982763702,2681.0264,7.893954985,300.1666609
0.995781523,1048.294674,6.954920003,294.6681079
0.5876808,1152.970537,7.050096967,288.4571898
0.515141681,2064.611694,7.632697446,290.2234047
0.620666656,758.2784929,6.631050723,286.5438251
0.639076584,2371.619351,7.771328271,293.8056843
0.918971722,1153.768221,7.050788579,294.2224655
0.771168909,1542.863659,7.341395487,293.7194346
