Specific Gravity,Pressure (psia),LOG P,Hydrate Temperature (K),LOWESS_Predicted,Residual,Outlier
0.761791681,2698.844664,7.900579058,296.8420285,295.9341867082273,0.9078417917727393,False
0.668342084,2276.003169,7.730176188,294.1507088,294.39207545672605,0.2413666567260293,False
0.611411069,2144.791765,7.670797747,292.6519191,294.11644090265713,1.4645218026571456,False
0.5900522,1573.007113,7.360744425,290.3769707,292.31589788399447,1.9389271839944513,False
0.603406533,632.7705679,6.450107904,285.0285149,286.2446608055948,1.2161459055947716,False
0.514437213,199.7824817,5.297229183,275.1841583,277.61789576991475,2.4337374699147745,False
0.735665349,1002.577051,6.910329015,290.4708705,289.6726564693136,0.7982140306863812,False
0.968179905,723.3359115,6.583873722,291.9285874,287.19631713615973,4.732270263840292,False
0.965323108,2110.623859,7.654738851,298.5288605,294.08471105475945,4.444149445240555,False
0.992720055,1178.117565,7.07167316,295.3589734,290.3065990343508,5.0523743656492,False
0.956429431,1353.48346,7.210436889,295.730305,291.66190464838354,4.068400351616447,False
0.56881525,2216.208566,7.703553162,291.907288,294.24505677996154,2.33776877996155,False
0.548802623,1664.825427,7.417475548,289.7822863,292.8593239832487,3.0770376832487045,False
0.752720276,665.4814529,6.500510768,288.1575139,286.56450973360126,1.5930041663987708,False
0.516292885,1661.983518,7.415767058,288.99061,292.83782141771496,3.8472114177149592,False
0.812707552,513.8424097,6.241916623,287.4317645,284.3162877885527,3.115476711447286,False
0.751715438,2234.685604,7.711855828,295.5776988,294.28543048317124,1.2922683168287676,False
0.91781027,2060.320293,7.630616732,297.7207055,294.02134286998694,3.69936263001307,False
0.986505253,2040.855929,7.621124572,298.6164112,293.99919727310595,4.617213926894067,False
0.502678717,1709.695681,7.444070669,288.8149485,293.13284503258706,4.317896532587042,False
0.901829596,1323.330579,7.187907004,294.8242592,291.45690449633037,3.367354703669605,False
0.793655765,1271.455965,7.147917952,292.918192,291.00776496145966,1.9104270385403197,False
0.674274465,1754.616133,7.470005384,292.7447028,293.46386672430543,0.7191639243054055,False
0.680063051,2101.322872,7.650322364,293.9135458,294.076173786647,0.16262798664700995,False
0.551995609,877.8180685,6.777439361,285.9804193,288.7407061628986,2.7602868628986243,False
0.81203386,2618.061952,7.87018961,297.5069158,295.65257093715513,1.8543448628448687,False
0.55155134,1880.9261,7.539519541,290.5608806,293.6594221026525,3.0985415026524947,False
0.770938541,2454.942082,7.805858448,296.4534634,294.9727730702139,1.4806903297860572,False
0.777110359,921.8189431,6.82634883,290.6488238,289.0986479270522,1.5501758729478183,False
0.705873912,357.9157724,5.880297686,283.2020925,281.14687624740264,2.055216252597347,False
0.798903657,290.1757709,5.670486846,283.2891641,279.82516401869634,3.4640000813036522,False
0.526823918,1431.142592,7.26622842,288.3645942,291.93792946989186,3.5733352698918566,False
0.909424209,231.9521946,5.446531293,283.3045243,278.61666704017614,4.687857259823886,False
0.912780882,217.6432938,5.382857456,282.8848146,278.29272219845745,4.592092401542573,False
0.812181748,806.666492,6.692910314,290.3692526,288.06282395217903,2.306428647820951,False
0.766024567,245.0612121,5.501508025,281.5589022,278.9143345007217,2.644567699278298,False
0.75471225,576.7925001,6.357482583,287.2567069,285.4339291008887,1.822777799111293,False
0.605282654,484.1903391,6.182478092,283.3168131,283.7090958986859,0.3922827986859261,False
0.69505707,1560.249737,7.352601175,292.4395512,292.255589322313,0.18396187768695427,False
0.841889372,974.7595161,6.88219079,292.0321467,289.52727475922217,2.504871940777832,False
0.880672628,664.1626963,6.498527144,290.1525069,286.5512950877228,3.6012118122771994,False
0.712904494,1264.68562,7.142578849,291.4986849,290.9515448928201,0.5471400071799053,False
0.959829353,1473.400577,7.295328326,296.2961947,291.97809684207283,4.318097857927171,False
0.595081541,842.4644762,6.736331497,286.6751008,288.44506068355616,1.7699598835561687,False
0.891746503,1308.437502,7.176588958,294.6082052,291.3339005220945,3.2743046779054907,False
0.83886644,674.8383712,6.514473212,289.6328945,286.6610322589184,2.971862241081624,False
0.713989683,1655.22639,7.41169307,293.14026,292.78822104332335,0.3520389566766653,False
0.852177879,1590.17909,7.371601924,295.2022336,292.3943858998583,2.8078477001416786,False
0.675633722,235.9061602,5.4634341,279.7266309,278.7063572692748,1.0202736307251712,False
0.628305977,202.9846035,5.313130131,277.7446158,277.7794472025447,0.03483140254468253,False
0.733264764,1462.527844,7.287921618,292.743778,291.97788801737676,0.7658899826232641,False
0.560726878,2162.604497,7.67906856,291.5815483,294.142398079501,2.560849779500984,False
0.548453142,1904.593465,7.552023861,290.5612635,293.74036487451576,3.179101374515767,False
0.698242588,1050.558409,6.95707712,290.0911243,289.8797458766728,0.21137842332717582,False
0.726457728,2232.661678,7.71094973,295.1259346,294.28090536711466,0.8450292328853379,False
0.748008816,782.5201161,6.66251963,289.1202037,287.80524668800473,1.3149570119952614,False
0.903291116,677.0104414,6.517686696,290.6033657,286.6825921283463,3.920773571653683,False
0.825237738,1977.115887,7.589394439,296.0809574,293.8965117300443,2.1844456699556645,False
0.505808721,2440.057153,7.799776741,290.9437835,294.91188484866996,3.9681013486699612,False
0.536739914,2595.550107,7.86155376,292.0592903,295.56617421313655,3.506883913136562,False
0.622270889,981.0003616,6.888572828,288.193221,289.5641464159255,1.3709254159255124,False
0.803184426,1168.536108,7.063507055,292.5536357,290.2664331514284,2.2872025485715994,False
0.898438356,590.1772477,6.380422912,289.632113,285.6567775290274,3.9753354709725954,False
0.516960722,2123.074049,7.660620341,290.4293506,294.09441220865386,3.6650616086538435,False
0.51723191,291.7915246,5.67603959,277.9321333,279.8574726228201,1.9253393228201503,False
0.737419173,1396.865936,7.241986389,292.5394097,291.82482454369614,0.7145851563038832,False
0.901634712,753.7318618,6.625036684,291.277089,287.51318104186237,3.7639079581376222,False
0.88392244,791.2366175,6.67359706,291.3344187,287.89630468260356,3.438114017396458,False
0.696893402,2580.095605,7.855581733,295.4178609,295.50385843539806,0.08599753539806443,False
0.622182699,2254.860589,7.720843427,293.1672479,294.33434287147355,1.1670949714735457,False
0.99039782,1409.687323,7.251123202,296.4369714,291.8728876684936,4.5640837315064005,False
0.591168591,979.3075195,6.886845709,287.5296598,289.55548312799175,2.025823327991759,False
0.635055047,1433.053315,7.267562632,290.7656773,291.9421966410765,1.1765193410765278,False
0.714290493,1395.040394,7.24067865,292.1194505,291.8190126576579,0.30043784234214854,False
0.93066738,1612.376568,7.385464499,296.4387052,292.499688950313,3.939016249687029,False
0.502067773,2277.855616,7.73098976,290.4568441,294.39727865341047,3.940434553410455,False
0.633128842,2506.190585,7.826519184,294.0006034,295.19089509886436,1.190291698864371,False
0.644962724,463.5232601,6.138856567,283.8230456,283.2803577285014,0.5426878714986287,False
0.898563339,2306.816839,7.743623861,298.1059154,294.48332592965903,3.6225894703409836,False
0.846415735,1489.523215,7.306211358,294.718733,291.99295712665537,2.7257758733446167,False
0.701215948,2057.44211,7.629218796,294.1888539,294.0177934817415,0.17106041825854845,False
0.554389572,280.8691509,5.637888906,278.520359,279.6344018529184,1.1140428529184305,False
0.76384963,579.2354741,6.361709086,287.4374719,285.4737750644918,1.9636968355081876,False
0.982763702,2681.0264,7.893954985,300.1666609,295.8727730197685,4.293887880231523,False
0.995781523,1048.294674,6.954920003,294.6681079,289.86979907910643,4.798308820893567,False
0.5876808,1152.970537,7.050096967,288.4571898,290.2044033901281,1.7472135901281263,False
