Specific Gravity,Pressure (psia),Hydrate Temperature (K)
0.762785109,2698.844664,296.8420285
0.668065555,2276.003169,294.1507088
0.612706446,2144.791765,292.6519191
0.59309826,1573.007113,290.3769707
0.602938226,632.7705679,285.0285149
0.55,199.7824817,275.1841583
0.738823775,1002.577051,290.4708705
0.969714774,723.3359115,291.9285874
0.964384159,2110.623859,298.5288605
0.993805175,1178.117565,295.3589734
0.955502596,1353.48346,295.730305
0.56788379,2216.208566,291.907288
0.55,1664.825427,289.7822863
0.748893716,665.4814529,288.1575139
0.55,1661.983518,288.99061
0.811582977,513.8424097,287.4317645
0.749689776,2234.685604,295.5776988
0.918438765,2060.320293,297.7207055
0.984689205,2040.855929,298.6164112
0.55,1709.695681,288.8149485
0.904760894,1323.330579,294.8242592
0.793204212,1271.455965,292.918192
0.674409521,1754.616133,292.7447028
0.677213555,2101.322872,293.9135458
0.550906844,877.8180685,285.9804193
0.812255705,2618.061952,297.5069158
0.55,1880.9261,290.5608806
0.771689937,2454.942082,296.4534634
0.775909082,921.8189431,290.6488238
0.705290525,357.9157724,283.2020925
0.797700244,290.1757709,283.2891641
0.55,1431.142592,288.3645942
0.909397215,231.9521946,283.3045243
0.91066546,217.6432938,282.8848146
0.813826838,806.666492,290.3692526
0.76358288,245.0612121,281.5589022
0.755129977,576.7925001,287.2567069
0.601363314,484.1903391,283.3168131
0.692400698,1560.249737,292.4395512
0.842283094,974.7595161,292.0321467
0.882149561,664.1626963,290.1525069
0.713247231,1264.68562,291.4986849
0.959598056,1473.400577,296.2961947
0.594479334,842.4644762,286.6751008
0.888789459,1308.437502,294.6082052
0.837426752,674.8383712,289.6328945
0.713068405,1655.22639,293.14026
0.854292123,1590.17909,295.2022336
0.676320959,235.9061602,279.7266309
0.624779897,202.9846035,277.7446158
0.733912932,1462.527844,292.743778
0.559956713,2162.604497,291.5815483
0.55,1904.593465,290.5612635
0.699465941,1050.558409,290.0911243
0.728519727,2232.661678,295.1259346
0.749871376,782.5201161,289.1202037
0.901612681,677.0104414,290.6033657
0.824619313,1977.115887,296.0809574
0.55,2440.057153,290.9437835
0.55,2595.550107,292.0592903
0.621312541,981.0003616,288.193221
0.802813108,1168.536108,292.5536357
0.896225686,590.1772477,289.632113
0.55,2123.074049,290.4293506
0.55,291.7915246,277.9321333
0.740131653,1396.865936,292.5394097
0.901490692,753.7318618,291.277089
0.885929506,791.2366175,291.3344187
0.697616674,2580.095605,295.4178609
0.620892459,2254.860589,293.1672479
0.991120611,1409.687323,296.4369714
0.594244664,979.3075195,287.5296598
0.634983395,1433.053315,290.7656773
0.71741978,1395.040394,292.1194505
0.92542789,1612.376568,296.4387052
0.55,2277.855616,290.4568441
0.633302936,2506.190585,294.0006034
0.644364709,463.5232601,283.8230456
0.898746861,2306.816839,298.1059154
0.842440597,1489.523215,294.718733
0.700776604,2057.44211,294.1888539
0.555103797,280.8691509,278.520359
0.766805418,579.2354741,287.4374719
0.981727162,2681.0264,300.1666609
0.994164536,1048.294674,294.6681079
0.586677286,1152.970537,288.4571898
0.55,2064.611694,290.2234047
0.621324158,758.2784929,286.5438251
0.638017064,2371.619351,293.8056843
0.919998257,1153.768221,294.2224655
0.771363064,1542.863659,293.7194346
0.866940074,1337.969904,294.3484239
0.690662995,1683.434956,292.8366212
0.55,835.7238255,285.2845992
0.608266912,2287.189095,292.97272
0.878194671,548.6009126,288.8983204
0.781395167,888.8991344,290.4802227
0.629791214,1473.911586,290.8164028
0.55,283.0921131,277.4263195
0.960423738,1966.43358,298.0486111
0.875404865,891.1523284,292.0111327
0.988037979,1009.65076,294.3406842
0.998304611,766.8256497,292.7128499
0.70023699,2241.618806,294.6994965
0.55,984.015202,285.8177301
0.914979677,478.2005839,288.4472251
0.755643723,496.708814,286.2182509
0.801857176,2200.971257,296.3286523
0.55,216.4849568,276.0219271
0.939745907,182.7341341,281.9533874
0.55,2404.947306,291.2519163
0.779877121,1601.00565,294.0884345
0.585715903,2210.01182,292.2667889
0.906898476,203.8916819,282.2550809
0.72157906,1084.694073,290.7182384
0.810258463,2111.642654,296.2186274
0.956896187,1784.783983,297.4159874
0.868241748,858.5566224,291.6609509
0.789974222,1436.621101,293.5641542
0.832880387,2314.91447,297.1033701
0.994712792,941.9594597,293.9568267
0.86184221,199.4828751,281.5522437
0.930862446,1907.346359,297.4092082
0.638058781,1599.473776,291.5391492
0.810366053,2295.202519,296.6983624
0.957372824,1782.395921,297.3532272
0.59934541,1469.552078,290.2150311
0.551871215,2133.612927,291.324997
0.55,2295.676461,290.5108511
0.673352419,1147.380972,290.1881022
0.961285944,829.8120557,292.7657402
0.55,741.7583677,284.2825303
0.771939872,716.2674923,288.9901708
0.958655856,2425.931867,299.242361
0.807364101,534.599056,287.6406412
0.707722074,1055.977465,290.239734
0.55,2096.499111,290.3214498
0.779158036,1394.966294,293.2551582
0.890066818,2619.407951,298.695596
0.903829201,1388.177547,295.1816812
0.849532751,2200.429323,297.0838818
0.850863159,1628.023119,295.2834097
0.636214949,2593.669629,294.3254663
0.866363884,2003.163108,296.7903566
0.55,722.2952718,284.2557011
0.93363844,2648.437768,299.3935945
0.564364513,1231.257299,288.3955603
0.590225198,393.8681977,281.6755156
0.915072757,1225.748152,294.5275071
0.892543024,1186.453431,294.0075687
0.910576353,1644.259325,296.26353
0.578350106,1712.762602,290.6070473
